question,question_number,response_category,category,response
"What economic resources or services would make your community a healthier, better place to live?",4,5,Youth Issues,places for 13-­?15 yr. olds to work. This would benefit their self esteem & give them something productive to do in the summer.
"What economic resources or services would make your community a healthier, better place to live?",4,5,Youth Issues,school lunch program 
"What economic resources or services would make your community a healthier, better place to live?",4,5,Youth Issues,ways to help teens manage money
"What economic resources or services would make your community a healthier, better place to live?",4,5,Youth Issues,work camps for troubled youth
"What economic resources or services would make your community a healthier, better place to live?",4,5,Youth Issues,youth job program
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,5,Youth Issues,better monitoring in the school. So many kids are being bullied in school & on the buses 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,5,Youth Issues,driving resources
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,5,Youth Issues,Inforce stricter driving privleges for teens
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,5,Youth Issues,more job opportunities for teens/students 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,5,Youth Issues,no teenage use of cellphones while driving no teenage use of cellphones while driving none
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,5,Youth Issues,not texting while driving classes
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,5,Youth Issues,youth centers
"What other issues or services would make your community a healthier, better place to live?",6,5,Youth Issues,after school latch key services for older children 
"What other issues or services would make your community a healthier, better place to live?",6,5,Youth Issues,childrens exercise & sports programs 
"What other issues or services would make your community a healthier, better place to live?",6,5,Youth Issues,more services for young children who's families are struggling to meet their daily needs 
"What other issues or services would make your community a healthier, better place to live?",6,5,Youth Issues,more things for the youth to do
"What other issues or services would make your community a healthier, better place to live?",6,5,Youth Issues,"to help kids to see a different side if they live in a drug environment, community, or home transportation"
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,drug education
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,drug education
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,"assistance with herion abuse, gambling addiction and elderly & needy"
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,"drug & alcohol programs-­?activities! YMCA'a drug awareness program, summer camp drug test"
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,drug tests for everyone
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,drug treatment & mental health
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,drugs to be gone
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,free drug counseling
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,get rid of illegal drug use 
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,inpatient substance abuse services 
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,more control on the heroin & meth problem 
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,more drug couseling
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,"more mental health services,alcohol/drug rehab"
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,end to herion epidemic
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,needle exchange program
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,no smoking 
"What services would make your community a healthier, better place to live?",1,6,Substance Abuse,rehab centers
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,Better drug education
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,Drug prevention /education programs
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,better drug education
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,better drug programs
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug awareness
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug abuse in depth
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug awareness
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug awareness classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,"drug classes,"
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug education
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug education
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,Drug education/awareness
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug information classes to help explain what they do to your brain/body
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,Drug prevention
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug prevention in schools
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug safety
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,education programs on smoking and alcohol
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,how to report drug use
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,How to spot person using drugs
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,Junior high age programs to prevent drug use later
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,more education programs on sex & drugs
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,stop alcohol
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,stop smoking
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,substance abuse
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,substance abuse programs
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,what drugs look like
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,drug counsil available 
"What classes/education programs or services would make your community a healthier, better place to live?",2,6,Substance Abuse,young adults drug free
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,alcoholism
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,drug abuse
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,addiction and mental health inpatient facilities that accept government insurance
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,control drug problem ie..Herion & Meth
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,don't drink
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,drug education
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,drug education classes
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,drug intervention/counseling
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,drug rehab
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,drug testings
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,drug use
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,Get rid of drug problem
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,less drugs
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,more drug rehabs
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,not  smoking
"What community health resources or services would make your community a healthier, better place to live?",3,6,Substance Abuse,try and help other stop smoking
"What economic resources or services would make your community a healthier, better place to live?",4,6,Substance Abuse,available Narcan on squads
"What economic resources or services would make your community a healthier, better place to live?",4,6,Substance Abuse,help to get drugs out of the community & the schools
"What economic resources or services would make your community a healthier, better place to live?",4,6,Substance Abuse,inpatient drug addiction
"What economic resources or services would make your community a healthier, better place to live?",4,6,Substance Abuse,needle exchange services none
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,6,Substance Abuse,better drug rehab centers 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,6,Substance Abuse,clean needle programs
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,6,Substance Abuse,drug & alcohol intervention 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,6,Substance Abuse,drug education
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,6,Substance Abuse,drug education for teens/adults
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,6,Substance Abuse,drug education more readily available in schools 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,6,Substance Abuse,drug intervention teach people who don't do drugs how to help those who do 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,6,Substance Abuse,Needle exchange
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,6,Substance Abuse,needle exchange program 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,6,Substance Abuse,drug awareness classes/seminars (how to be safe in the city)
"What other issues or services would make your community a healthier, better place to live?",6,6,Substance Abuse,a drug rehab center for youth
"What other issues or services would make your community a healthier, better place to live?",6,6,Substance Abuse,better education in the schools regarding drugs/drug abuse 
"What other issues or services would make your community a healthier, better place to live?",6,6,Substance Abuse,Drug addiction awareness & prevention. 
"What other issues or services would make your community a healthier, better place to live?",6,6,Substance Abuse,drug awareness program civic awareness 
"What other issues or services would make your community a healthier, better place to live?",6,6,Substance Abuse,drug education in schools
"What other issues or services would make your community a healthier, better place to live?",6,6,Substance Abuse,drug rehab
"What other issues or services would make your community a healthier, better place to live?",6,6,Substance Abuse,"drug, alcohal, sex 'talks"" to highschools"
"What other issues or services would make your community a healthier, better place to live?",6,6,Substance Abuse,"drugs are everywhere, need more enforcement on them"
"What other issues or services would make your community a healthier, better place to live?",6,6,Substance Abuse,Follow up education & checks for those who od or are recovering from addiction 
"What other issues or services would make your community a healthier, better place to live?",6,6,Substance Abuse,people who are on herion should be able to get norcain shot 
"What services would make your community a healthier, better place to live?",1,7,Employment,better business opportunities
"What services would make your community a healthier, better place to live?",1,7,Employment,transition form school and/or military into the jobs sector.
"What services would make your community a healthier, better place to live?",1,7,Employment,employment
"What services would make your community a healthier, better place to live?",1,7,Employment,Job availability
"What services would make your community a healthier, better place to live?",1,7,Employment,more jobs-­?but people need 2 get off the system and work -­?everything hand 2 them 
"What services would make your community a healthier, better place to live?",1,7,Employment,work availability youth
"What services would make your community a healthier, better place to live?",1,7,Employment,colleges or technical schools 
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,GED  training
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,job find service
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,prevention;-­?program for youth & school age to make best choices to get to career or trade they desire. 
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,classes on how to further your education
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,classes that offer certifications vs. degrees
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,college classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,"computer courses,"
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,"continue to teach classes that will allow people in Warren County to learn a trade-­?plumber,electrician, etc "
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,education on work ethics & job securing
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,english classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,English language classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,free college classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,"financial, computer classes"
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,GED
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,GED classed
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,ged classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,GED help for families
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,GED programs
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment, job skills
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,job training
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,job training
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,job training
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,"language classed,"
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,let people work for money
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,money management
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment, money managing
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,necessary program for continuing education-­?tutoring 
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,saving money
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,taxes class
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,Technical education
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,Work force
"What classes/education programs or services would make your community a healthier, better place to live?",2,7,Employment,work related traing
"What community health resources or services would make your community a healthier, better place to live?",3,7,Employment,help find jobs
"What community health resources or services would make your community a healthier, better place to live?",3,7,Employment,helping us find employment
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,education for first time employment applicants 
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,Continue to add additional good paying private sector jobs that would be available to the people in Warren County.
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,?business-?living environment for community 
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,economic development(more good jobs)
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,employment
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,Employment availability 
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,job shadowing
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,job training 
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,jobs
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,jobs leaser to find listings of jobs available in community 
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,jobs that pay better
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment, more industry or jobs less bedroom community
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,more job resources more jobs
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,more jobs
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,more jobs in Lebanon
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,more ways to find out about local jobs
"What economic resources or services would make your community a healthier, better place to live?",4,7,Employment,put people to work
"What other issues or services would make your community a healthier, better place to live?",6,7,Employment,"a factory, something that would be made in China"
"What other issues or services would make your community a healthier, better place to live?",6,7,Employment,more employment opportunities
"What services would make your community a healthier, better place to live?",1,8,Transportation,a better bus/transit system/service w/car seat available
"What services would make your community a healthier, better place to live?",1,8,Transportation,Affordable transportation
"What services would make your community a healthier, better place to live?",1,8,Transportation,better public transportation
"What services would make your community a healthier, better place to live?",1,8,Transportation,better transportation for people without cars(car seats)
"What services would make your community a healthier, better place to live?",1,8,Transportation,better transportation services
"What services would make your community a healthier, better place to live?",1,8,Transportation,better transportation services 
"What services would make your community a healthier, better place to live?",1,8,Transportation,bike rental 
"What services would make your community a healthier, better place to live?",1,8,Transportation,bus routes 
"What services would make your community a healthier, better place to live?",1,8,Transportation,buses
"What services would make your community a healthier, better place to live?",1,8,Transportation, buses
"What services would make your community a healthier, better place to live?",1,8,Transportation,carpool
"What services would make your community a healthier, better place to live?",1,8,Transportation,carpool & bike rentals for better transportation cheaper city services
"What services would make your community a healthier, better place to live?",1,8,Transportation,bus transportatiopn 
"What services would make your community a healthier, better place to live?",1,8,Transportation, lower gas prices
"What services would make your community a healthier, better place to live?",1,8,Transportation,maybe a bus
"What services would make your community a healthier, better place to live?",1,8,Transportation,more accessible transportation
"What services would make your community a healthier, better place to live?",1,8,Transportation,public transportation 
"What services would make your community a healthier, better place to live?",1,8,Transportation,public transportation 
"What services would make your community a healthier, better place to live?",1,8,Transportation,public transportation 24/7
"What services would make your community a healthier, better place to live?",1,8,Transportation,taxi
"What services would make your community a healthier, better place to live?",1,8,Transportation, train
"What services would make your community a healthier, better place to live?",1,8,Transportation,transportation 
"What services would make your community a healthier, better place to live?",1,8,Transportation,Transportation 
"What services would make your community a healthier, better place to live?",1,8,Transportation,Transportation 
"What services would make your community a healthier, better place to live?",1,8,Transportation,Transportation (Public) 
"What services would make your community a healthier, better place to live?",1,8,Transportation,transportation system 
"What services would make your community a healthier, better place to live?",1,8,Transportation,A better bus/transit system/service w/car seat available
"What classes/education programs or services would make your community a healthier, better place to live?",2,8,Transportation,lower cost driving school
"What classes/education programs or services would make your community a healthier, better place to live?",2,8,Transportation,A service of public busing system
"What classes/education programs or services would make your community a healthier, better place to live?",2,8,Transportation,pre-­?school transportation for all kids
"What classes/education programs or services would make your community a healthier, better place to live?",2,8,Transportation,transportation services
"What community health resources or services would make your community a healthier, better place to live?",3,8,Transportation,better transportation(public) system available to go to appointments
"What community health resources or services would make your community a healthier, better place to live?",3,8,Transportation,bike stands
"What community health resources or services would make your community a healthier, better place to live?",3,8,Transportation,bike stations
"What community health resources or services would make your community a healthier, better place to live?",3,8,Transportation,closer hospitals
"What community health resources or services would make your community a healthier, better place to live?",3,8,Transportation,free bikes to ride
"What community health resources or services would make your community a healthier, better place to live?",3,8,Transportation,free drivers ed
"What community health resources or services would make your community a healthier, better place to live?",3,8,Transportation,if the could provide transportation for kids that want to get on some kind of birth control
"What community health resources or services would make your community a healthier, better place to live?",3,8,Transportation,more walking/biking & less driving
"What economic resources or services would make your community a healthier, better place to live?",4,8,Transportation,better transportaiton options 
"What economic resources or services would make your community a healthier, better place to live?",4,8,Transportation,bus services for local parents
"What economic resources or services would make your community a healthier, better place to live?",4,8,Transportation,elderly bus transportation (affordable) 
"What economic resources or services would make your community a healthier, better place to live?",4,8,Transportation,help elderly w/ transportation to appts. Etc. 
"What economic resources or services would make your community a healthier, better place to live?",4,8,Transportation,more free parking 
"What economic resources or services would make your community a healthier, better place to live?",4,8,Transportation,Public transportation
"What economic resources or services would make your community a healthier, better place to live?",4,8,Transportation,public transportation that is cheap & more reliable 
"What economic resources or services would make your community a healthier, better place to live?",4,8,Transportation,transportation
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,8,Transportation,better public transportation
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,8,Transportation,carpool/trains
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,8,Transportation,free senior transportation 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,8,Transportation, taxi
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,8,Transportation,taxis
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,8,Transportation,taxis
"What other issues or services would make your community a healthier, better place to live?",6,8,Transportation,a public bus maybe?
"What other issues or services would make your community a healthier, better place to live?",6,8,Transportation,better transportation
"What other issues or services would make your community a healthier, better place to live?",6,8,Transportation, easier access to transportation
"What other issues or services would make your community a healthier, better place to live?",6,8,Transportation,transportation
"What services would make your community a healthier, better place to live?",1,9,Wellness,a somen service over 50 exercise & women issues access to good doctors
"What services would make your community a healthier, better place to live?",1,9,Wellness,access to good doctors
"What services would make your community a healthier, better place to live?",1,9,Wellness,access to services activities for the youth
"What services would make your community a healthier, better place to live?",1,9,Wellness,activity services such as gyms
"What services would make your community a healthier, better place to live?",1,9,Wellness,"affordable fittness for familys ""YMCA"" etc… Affordable transportation"
"What services would make your community a healthier, better place to live?",1,9,Wellness,be more actgive
"What services would make your community a healthier, better place to live?",1,9,Wellness,cheaper version at YMCA
"What services would make your community a healthier, better place to live?",1,9,Wellness,child immunization programs (free)
"What services would make your community a healthier, better place to live?",1,9,Wellness,close urgent care 
"What services would make your community a healthier, better place to live?",1,9,Wellness,continued MD services
"What services would make your community a healthier, better place to live?",1,9,Wellness,dental
"What services would make your community a healthier, better place to live?",1,9,Wellness,dental services
"What services would make your community a healthier, better place to live?",1,9,Wellness,e nutrition courses
"What services would make your community a healthier, better place to live?",1,9,Wellness,education on life stages
"What services would make your community a healthier, better place to live?",1,9,Wellness,Food drives
"What services would make your community a healthier, better place to live?",1,9,Wellness,"Food pantries, Joshuas"
"What services would make your community a healthier, better place to live?",1,9,Wellness,food pantry
"What services would make your community a healthier, better place to live?",1,9,Wellness, food pantry
"What services would make your community a healthier, better place to live?",1,9,Wellness,"food pantry, "
"What services would make your community a healthier, better place to live?",1,9,Wellness,foodbank
"What services would make your community a healthier, better place to live?",1,9,Wellness,free fitness parks
"What services would make your community a healthier, better place to live?",1,9,Wellness,"free mammograms, if these are available I've never heard about it"
"What services would make your community a healthier, better place to live?",1,9,Wellness,free/affordable physical acitivity programs for children.
"What services would make your community a healthier, better place to live?",1,9,Wellness,free/cheap gym memberships 
"What services would make your community a healthier, better place to live?",1,9,Wellness,fresh veggies being offered
"What services would make your community a healthier, better place to live?",1,9,Wellness,"gyms, more health stores like GNC happy w/what we have"
"What services would make your community a healthier, better place to live?",1,9,Wellness,health classes for youth
"What services would make your community a healthier, better place to live?",1,9,Wellness,free mammograms
"What services would make your community a healthier, better place to live?",1,9,Wellness,free condoms
"What services would make your community a healthier, better place to live?",1,9,Wellness,Health Dept
"What services would make your community a healthier, better place to live?",1,9,Wellness,healthcare
"What services would make your community a healthier, better place to live?",1,9,Wellness,healthy food services
"What services would make your community a healthier, better place to live?",1,9,Wellness,heatlhier resturants
"What services would make your community a healthier, better place to live?",1,9,Wellness, hygiene
"What services would make your community a healthier, better place to live?",1,9,Wellness,I would educate people about gardening & cooking
"What services would make your community a healthier, better place to live?",1,9,Wellness, improved access to low cost food
"What services would make your community a healthier, better place to live?",1,9,Wellness,In Carlisle:a grocery store
"What services would make your community a healthier, better place to live?",1,9,Wellness,mamograms
"What services would make your community a healthier, better place to live?",1,9,Wellness,mas atencion medical 
"What services would make your community a healthier, better place to live?",1,9,Wellness,Medical-­?Dental-­?Vision-­?mental Services
"What services would make your community a healthier, better place to live?",1,9,Wellness," medical, vision, dental"
"What services would make your community a healthier, better place to live?",1,9,Wellness,mobile screenings
"What services would make your community a healthier, better place to live?",1,9,Wellness,more community health clinics
"What services would make your community a healthier, better place to live?",1,9,Wellness,more farmer's market choices 
"What services would make your community a healthier, better place to live?",1,9,Wellness,more health check ups
"What services would make your community a healthier, better place to live?",1,9,Wellness,neighborhood farmer's markets
"What services would make your community a healthier, better place to live?",1,9,Wellness,nutritian class
"What services would make your community a healthier, better place to live?",1,9,Wellness,"organic stores (whole foods, fresh thyme) "
"What services would make your community a healthier, better place to live?",1,9,Wellness,place to work out free 
"What services would make your community a healthier, better place to live?",1,9,Wellness, public gyms
"What services would make your community a healthier, better place to live?",1,9,Wellness,"salud, educacion, agua, economical (health, education, water)"
"What services would make your community a healthier, better place to live?",1,9,Wellness,sports
"What services would make your community a healthier, better place to live?",1,9,Wellness,tele medicine 
"What services would make your community a healthier, better place to live?",1,9,Wellness,telemedicine
"What services would make your community a healthier, better place to live?",1,9,Wellness,Vital Statistics
"What services would make your community a healthier, better place to live?",1,9,Wellness,water in vending machines
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,cooking
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,fitness
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,free CPR classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,nutrition courses (paid for by the county)
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,helping to select best health practices to maintain healthy lifestyle 
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"a class about health living, a home-­?ec type class (our school doesn't offer one)"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,immunization awareness
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,agriculture class
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,anything health related
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness," birth control, dietitian & meal planning"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,class cpr
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,parenting class
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,classes to educate parents on healthy eating for their kids
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,classes-­?healthy  eating
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,communicable disease
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,communication skills
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,cpr courses and first aid
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,cooking & healthy eating education
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,cooking class
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,cooking classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"cooking classes, home ec. Classes, free "
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"cooking, cleaning & gardening"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"counseling, anger management"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,CPR
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,CPR
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,cpr should be a must
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,CPR-­?first aid 
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,CPR trainig
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"CPR, first aid"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,diabetes education
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"diabetes education, etc."
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,doctors
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,exercise classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,exercise programs for all age groups
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,first aid classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,flu prevention
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,free couponing classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,free cpr courses
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,free exercise classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,free/affordable physical activity programs for children
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,gardening & cooking
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,health class
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,health class
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,health program with incentives-­? example: summer camp type format partner w/Kings Island for incentives health screening
